Headers,Chunk
Работа с товарами. Как выдавать заказы. Частые вопросы при выдаче товаров. Покупатель вынес из примерочной не ту вещь,"Если покупатель пытается вернуть после примерки не ту вещь, которую вы ему выдали, не оформляйте отказ. Попросите клиента выкупить вещь и оформить заявку на возврат в профиле. Вы сможете принять возврат только после того, как заявку одобрят.  Инструкция есть в разделе Как создать заявку на возврат в профиле покупателя"
Работа с товарами. Как выдавать заказы. Частые вопросы при выдаче товаров. Покупатель забыл в пункте выдачи личную вещь,"Если покупатель забыл что-то в пункте выдачи, создайте обращение в категории «Связь с клиентом» → Клиент оставил личную вещь. Укажите ID покупателя и опишите ситуацию в комментарии"
Работа с товарами. Как выдавать заказы. Частые вопросы при выдаче товаров. Нашли на складе проданный товар,"Если вы нашли на складе уже проданный товар, создайте обращение. Выберите «Связь с клиентом» → Найден проданный товар. Заполните форму и укажите ШК товара."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не спрашивать покупателя про способ оплаты,"Если не спрашивать покупателя про способ оплаты, можно случайно списать деньги не с того счёта, если не уточнить, как покупатель хочет платить: картой или через WB Кошелёк."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не спрашивать покупателя про способ оплаты. Как не допускать,"Обязательно спрашивайте о способе оплаты перед тем, как выдать заказ. Если покупатель платит через WB Кошелёк, посоветуйте проверить сумму. Когда в кошельке не хватает денег, стоимость заказа списывается с привязанной к профилю карты."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не сверять товар при выдаче,"Если менеджер забыл сверить в программе, сколько и каких товаров выдал покупателю, спишется неправильная сумма или покупатель получит не свой заказ"
Работа с товарами. Как выдавать заказы. Частые ошибки. Не сверять товар при выдаче. Как исправить,"Чтобы исправить ошибку при сверке товара, проведите возврат, если товар можно вернуть без заявки. Если случайно выдали невозвратный или неотказной товар, следуйте инструкции из раздела Невозвратные и неотказные товары"
Работа с товарами. Как выдавать заказы. Частые ошибки. Не сверять товар при выдаче. Как не допускать,"Перед тем, как провести оплату, сверьте товары вместе с покупателем. Отложите в сторону вещи, от которых клиент отказался. Проверьте количество и артикулы в программе, чтобы не выдать лишнее."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не просить покупателя проверить товар под камерой,"Если не просить покупателя проверить товар под камерой,  а после примерки вы обнаружите подмену или брак, у вас не будет доказательств, чтобы оспорить удержание."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не просить покупателя проверить товар под камерой. Как не допускать,Просите каждого покупателя проверять товары под камерами на столе выдачи и только потом забирать вещи на примерку.
Работа с товарами. Как выдавать заказы. Частые ошибки. Не убирать отметку о возврате,"Не забывайте убирать отметку о возврате!Из-за этого можно случайно вернуть товар, который покупатель хотел забрать."
Работа с товарами. Как выдавать заказы. Пакеты,"Фирменные пакеты бесплатные, а пакет-майка стоит 5 рублей.Отсканируйте штрихкод пакета, даже если он бесплатный. Это нужно для отчётности."
Работа с товарами. Как выдавать заказы. Частые ошибки. Не убирать отметку о возврате. Как не допускать,"Чтобы ошибочно не поставить отметку о возврате: -Сканируйте товары, только когда открыто окно «Проверка товара». Если пикнете штрихкод в разделе «Поиск клиента», программа посчитает, что вы хотите вернуть товар. - Не закрывайте окно «Проверка товара», пока не просканируете товар. Если закрыть раньше, программа автоматически оформит отказ от товара. - Перед тем как выдать товар, проверьте столбец «Возврат» — там не должно быть галочки. Будьте особенно внимательны в случаях, когда покупатель сначала хотел отказаться от товара, но в последний момент передумал и решил выкупить вещь. - Уточните у покупателя, какие товары он хочет выкупить, а от каких — отказаться."
"Работа с товарами. Как выдавать заказы. Частые ошибки. Не предупреждать, что пакет платный","Если не предупреждать, что пакет платный, покупатель может поставить плохую оценку, если увидит, что с него без предупреждения списали деньги за пакет."
"Работа с товарами. Как выдавать заказы. Частые ошибки. Не предупреждать, что пакет платный. Как не допускать","Расскажите, что пакеты платные, и дайте покупателю самому выбрать подходящий размер."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Невозвратные и неотказные товары. Категории неотказных товаров. Важно,"Если в заказе есть невозвратный или неотказной товар, обязательно предупредите об этом покупателя. Попросите проверить товар на ресепшене и помогите упаковать вещь обратно. Перед тем, как закрыть чек, уточните у покупателя, все ли в порядке с товаром и готов ли он выкупить заказ. - Если покупатель заметил дефект, брак или истекший срок годности, помогите ему создать заявку на проверку товара в профиле."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Ювелирные изделия,"К ювелирным изделиям относятся кольца, серьги, браслеты, подвески, колье, броши и другие украшения из драгоценных металлов или с драгоценными камнями, наручные часы, сувениры и столовое серебро."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Ювелирные изделия. Как выдавать,
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Ювелирные изделия. Как возвращать,"Если покупатель отказывается от ювелирного украшения, для возврата ювелирного изделия покажите под камерой, что пломба не повреждена и крепко держится на украшении. - Сверьте товар с информацией в карточке товара, чтобы убедиться, что вещь не подменили. - Уберите товар в сейф-пакет и заклейте упаковку."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Товары для взрослых,"К товарам для взрослых относятся эротическое бельё и аксессуары, игры, интимная косметика, презервативы и лубриканты, секс-игрушки, а также энергетические напитки и товары для курения."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Товары для взрослых. Как принимать,"Обычно товары для взрослых доставляют в хорошо запечатанной непрозрачной упаковке или сейф-пакетах, но бывают исключения. Когда будете принимать такой товар, зафиксируйте под камерами, что пакет пришёл целым. Так у вас будет доказательство на случай спорной ситуации."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Товары для взрослых. Как выдавать,"При выдаче вещи из категории товаров для взрослых в программе не будет отображаться информация о товаре. Если нужно свериться с карточкой товара, перейдите в раздел «История ШК» → «Информация». - Покупатель может проверить товар на столе выдачи, а некоторые категории — примерить. К ним относится одежда и нижнее бельё. - Обязательно проверьте паспорт покупателя, чтобы убедиться, что ему больше 18 лет."
"Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых невозвратных категорий. Домашняя одежда, нижнее и постельное бельё","В категорию Домашняя одежда, нижнее и постельное бельё входят нижнее бельё, купальники, чулки, колготки, пижамы, халаты и постельное бельё. Вещи из этой категории можно примерять, только если об этом сказано в карточке товара. Покупатель может отказаться от такого товара после примерки в ПВЗ. Обязательно проверьте, что товар вернули в том же состоянии: со всеми бирками и упаковкой. - Если есть брак, нужно создать заявку на проверку товара в профиле покупателя."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых неотказных категорий. Технически сложные товары ( ТСТ ). Как выдавать,"При выдаче технически сложного товара покупатель может посмотреть внешнее состояние и целостность упаковки только на столе выдачи, под камерами. - Распаковать и включить устройство можно только после оплаты. Не передавайте товар в руки покупателю, пока со счёта не спишется вся сумма."
Работа с товарами. Как работать с разными категориями товаров. Какие категории бывают. Особенности некоторых неотказных категорий. Технически сложные товары ( ТСТ ). Как возвращать,"Если покупатель обнаружил брак и хочет вернуть  технически сложный товар, он должен создать заявку на проверку товара в профиле. Это можно сделать в течение 1 года с момента покупки. - Если покупатель обнаружил брак в течение гарантийного срока, он может связаться с продавцом: перейти во вкладку «Покупки», нажать на кнопку ⋮ и выбрать «Cвязаться с продавцом». Пока эта функция доступна только на сайте Wildberries."
Работа с товарами. Что делать с бракованными товарами. Что такое брак,"Брак - это физические или качественные повреждения. Они могут появиться ещё в процессе производства или позже, например, во время транспортировки."
Работа с товарами. Что делать с бракованными товарами. Какие загрязнения считаются браком,"К браку относятся: -Следы от ручки и маркера на вещи и на упаковке. Не оставляйте пометки с номером ячейки на товаре.  - Биологические пятна. Пот, кровь, еда и другие пятна, которые относятся к жизнедеятельности человека. Такие пятна могут специфически пахнуть. - Косметические пятна. Следы от тонального крема, помады, румян другой косметики. Могут быть разных цветов. У таких пятен часто жирная, маслянистая текстура. - Залитие товара. Следы от масла, жидкости или краски. Могут быть жирными и яркого цвета. - Химические пятна. Пятна от контакта с химическими веществами. Могут оставить заметные следы: обесцветить или прожечь ткань."
Работа с товарами. Что делать с бракованными товарами. Какие загрязнения не считаются браком,"Какие загрязнения не считаются браком: - Устранимые загрязнения. Если их легко убрать влажными или сухими салфетками. - Залита или загрязнена внешняя упаковка. Если пострадала только транспортировочная упаковка, которая не считается частью комплекта."
Работа с товарами. Что делать с бракованными товарами. Как ещё могут называть брак?,"Как ещё могут называть брак: -В инструкциях, уведомлениях и новостях вы можете встретить другие формулировки терминов «брак» и «бракованный товар»: проблемный товар, дефект, товар с дефектом."
Работа с товарами. Что делать с бракованными товарами. Что делать с такими товарами. В пункт выдачи приехал бракованный товар,"Если в пункт выдачи приехал бракованный товар: -1. Перейдите в раздел «Дефекты» и отсканируйте товар, а затем нажмите на кнопку «Отправить в брак». Так вы исключите себя из коллективной ответственности. 2. Сохраните скриншот с отметкой о браке в программе. Он пригодится, если нужно будет оспорить удержание. "
Работа с товарами. Что делать с бракованными товарами. Что делать с такими товарами. Покупатель отказывается от бракованного товара,"Если покупатель обнаружил брак и отказывается от товара: 1. Обязательно рассмотрите вещь и убедитесь, что дефект действительно есть. Если поставите отметку о браке на товар, у которого нет дефекта, с вас удержат стоимость обратной доставки на склад. 2. Поставьте галочку в столбце «Возврат», выберите вариант «Брак» и опишите дефект. 3. Сделайте скриншот отметки и комментария на случай, если нужно будет оспорить удержание. 4. Перейдите в раздел «Дефекты» и отсканируйте товар, а затем нажмите на кнопку «Отправить в брак». Это нужно сделать до того, как оформите отказ от товара. Так с покупателя не спишут деньги за обратную доставку.  Если повредилась транспортировочная упаковка, это не брак. Но если упаковка вещи — часть комплекта, то дефекты на ней будут считаться браком, даже если с самой вещью всё в порядке."
Работа с товарами. Что делать с бракованными товарами. Что делать с такими товарами. Покупатель хочет вернуть бракованный товар без одобренной заявки,Если покупатель хочет вернуть бракованный товар без одобренной заявки: -Вежливо попросите покупателя создать заявку на брак через профиль на сайте или в приложении Wildberries. Подробную инструкцию можно найти в разделе «Как создать заявку на возврат в профиле покупателя».
Работа с товарами. Что делать с бракованными товарами. Что делать с такими товарами. Покупатель хочет вернуть бракованный товар с одобренной заявкой,"Если покупатель хочет вернуть бракованный товар с одобренной заявкой: -1. В окне покупок за последние 14 дней в правом верхнем углу появится раздел «Заявки на возврат по браку»: перейдите туда и проверьте статус заявки. Если заявку отклонили, попросите покупателя создать новую. 2. Проверьте причину возврата и убедитесь, что дефект соответствует тому, что покупатель описал в заявке. 3. Внимательно осмотрите товар. Важно, чтобы упаковка и бирки были на месте, а внешний вид, бренд, цвет и комплектация не отличались от информации в карточке товара. 4. Если заявку на возврат одобрили, нажмите на кнопку «Выполнить возврат». Деньги вернутся в течение 7 дней в WB Кошелёк или на карту — зависит от способа оплаты.  Если в комплекте было несколько вещей, а покупатель вернёт не всё, то это будет считаться недостачей."
Работа с товарами. Как утилизировать товары,"Некоторые вещи нельзя продать или вернуть на склад — только утилизировать. Рассказываем об этих товарах и о том, как правильно освобождать склад."
Работа с товарами. Как утилизировать товары. Что нужно утилизировать,"Что нужно утилизировать: - Продукты, БАДы, корма для животных и бытовую химию, если покупатель не забрал заказ в течение 12 дней. - Бракованные товары для поставщика, если их не забрали в течение 12 дней."
Работа с товарами. Как утилизировать товары. Как правильно утилизировать товары,"Как правильно утилизировать товары: 1. Откройте NPOS и перейдите в раздел «Вещи в офисе» из меню слева. 2. Откройте вкладку «Утиль». Тут отображаются товары, которые нужно утилизировать, и номера ячеек. 3. Соберите товары из ячеек и сверьте вещи с программой. 4. Галочками отметьте товары или нажмите на кнопку «Выбрать все». 5. Нажмите на кнопку «Утилизировано». После этого товары пропадут с баланса ПВЗ. 6. Выбросите утилизированные вещи."
Работа с товарами. Как утилизировать товары. Куда выбрасывать утилизированные товары?. Не упаковывайте утилизированные товары в мусорные коробки,"Куда выбрасывать утилизированные товары?Выбросьте утилизированные товары в ближайший мусорный контейнер.Не упаковывайте утилизированные товары в мусорные коробки.На складе могут подумать, что товары выкинули случайно, и снова их принять. Если это произойдёт, из выплаты менеджера вычтут часть за брак или подмену"
Работа с товарами. Как утилизировать товары. На что ещё обратить внимание?,"При утилизации будьте внимательны.  Иногда в коробку с товарами попадают личные вещи продавца: зарядка для телефона, документы, зонт или другой предмет. Эти вещи могут отправить со склада в ваш ПВЗ, чтобы их забрал продавец. Пожалуйста, храните такие предметы в отдельном месте, чтобы не перепутать их с товарами или случайно не упаковать в коробку для мусора."
Работа с товарами. Как посмотреть историю и отследить движение штрихкода. Что такое история ШК," История ШК - это информация о перемещениях товара от склада и сортировочных центров (СЦ) до пункта выдачи и обратно. Данные пригодятся, если нужно оспорить удержание."
Работа с товарами. Как посмотреть историю и отследить движение штрихкода. Что такое история ШК. Как посмотреть в NPOS,"Чтобы посмотреть историю ШК в NPOS: -1. Из меню слева перейдите в раздел «История ШК». 2. Нажмите на пустое поле для текста. 3. Отсканируйте штрихкод или введите номер вручную.  Откроется страница с 2 вкладками:  - Вкладка «Информация». Тут отображается карточка товара с названием, брендом, размером, ценой, артикулом и местом хранения. - Вкладка «История». Тут будут статусы товара и названия всех СЦ, которые посылка прошла от склада до пункта выдачи и обратно, если покупку вернули.  Информация из вкладки «История» пригодится, чтобы правильно заполнить заявку на оспаривание. Рассказываем об этом подробнее в инструкции Куда отправлять заявку, когда оспариваете недостачу​"
Работа с товарами. Как посмотреть историю и отследить движение штрихкода. Что такое движение вещей,"Движение вещей - это информация о том, как товары перемещаются по пункту выдачи.  В разделе «Движение вещей» можно посмотреть:  - ячейку, где лежит товар, - номер приходной коробки, - день и время, когда товар доставили в пункт, - статус товара."
Работа с товарами. Как посмотреть историю и отследить движение штрихкода. Что такое движение вещей. Как посмотреть в NPOS,"Чтобы посмотреть в NPOS движение вещей: -1. Из меню слева перейдите в раздел «Движение вещей». 2. Чтобы посмотреть все ШК за определённый день, нажмите на поле «Все ШК». 3. Выберите дату — отобразится список всех товаров со статусами, номерами ячеек и приходных коробок. 4. Чтобы посмотреть конкретный товар, нажмите на пустое поле «Поиск по ШК» и отсканируйте штрихкод или введите номер вручную."
Работа с товарами. Как собирать курьерские заказы,"Собирать заказы с курьерской доставкой — задача менеджера. Чтобы выдать заказ курьеру:  1. Перейдите в рабочей программе во вкладку «Курьеры → Курьерские задания 2. Откройте задание 3. Отсканируйте каждый товар. Если вещи нет на складе, поставьте отметку «Не найдена» 4. Упакуйте заказ в фирменный пакет — не забудьте просканировать его штрихкод 5. Нажмите кнопку «Завершить сборку» 6. Когда курьер придёт за заказом, попросите его назвать код 7. Сравните код в программе NPOS с тем, что назвал курьер 8. Если всё в порядке, нажмите кнопку «Выдать курьеру»"
Работа с покупателями. Как построить конструктивный диалог с покупателем,"Пришёл товар с дефектом, не получилось оформить возврат, деньги списали не за тот товар — всё это может привести к конфликту в пункте выдачи. Задача менеджера — разрядить эмоциональное напряжение и создать доверительную атмосферу, чтобы найти решение вместе с покупателем.  От того, как вы с этим справитесь, зависит ваш рейтинг. Если всё пройдёт хорошо, покупатель не поставит низкую оценку. Читайте больше о рейтинге в инструкции Как поддерживать высокий рейтинг"
Работа с покупателями. Как построить конструктивный диалог с покупателем. Эмоции,"Покупатели не знают, как устроены процессы в Wildberries, поэтому направляют негатив на менеджера пункта, даже если ошибка произошла не по вашей вине.  Что делать,  если возник конфликт:  - Не поддавайтесь эмоциям, если покупатель проявляет агрессию и провоцирует. - Говорите спокойно и чётко, даже когда ситуация накаляется. - Не принимайте негатив на свой счёт. Постарайтесь как можно лучше разобраться в проблеме. Покажите искренний интерес, чтобы покупатель понимал, что ему хотят помочь.  Что делать:  - Узнайте имя. Обращайтесь к покупателю только так, как он представился. Если обсуждаете проблему при покупателе с сотрудником поддержки или руководством, не используйте местоимения «он» или «она» — называйте клиента по имени. - Выслушайте. Дайте покупателю высказаться и не перебивайте — так вы сможете понять контекст и вникнуть в суть проблемы. - Задайте вопросы. Когда покупатель закончит монолог, вежливо уточните то, что не поняли: «Я правильно вас услышал…?» «Я правильно понимаю, что…?» - Проявите эмпатию. Посочувствуйте, если покупатель расстроен: «Мне очень жаль, что вы получили вещь с дефектом». «Понимаю, как это неприятно». «Понимаю ваше негодование». - Извинитесь, если действительно допустили ошибку: «Извините, что списал деньги не за тот товар». «Простите за неудобства». «Извините, что вам приходится разбираться с этим». «Это моя ошибка, простите». Когда дали покупателю высказаться и разобрались в ситуации, предложите решение.  Что делать:  - Решите проблему. Проговорите все шаги для покупателя: «Сейчас мы вместе посмотрим товар под камерами и всё проверим. Если с вещью снова будут проблемы, сразу оформим возврат». - Предложите альтернативу. Если не можете решить проблему здесь и сейчас, помогите создать заявку на проверку товара или связаться со службой поддержки. - Не стесняйтесь обратиться за советом. Если не знаете, как поступить, попросите помочь более опытного коллегу или руководство."
Работа с покупателями. Как поддерживать высокий рейтинг,"Менеджер пункта выдачи — лицо Wildberries. От того, как вы общаетесь с покупателями и справляетесь с конфликтами, зависит репутация компании, а ещё рейтинг: ваш личный и пункта выдачи."
Работа с покупателями. Как поддерживать высокий рейтинг. Что такое рейтинг и на что он влияет,"Рейтинг — это оценка менеджера или пункта выдачи по 5-балльной шкале.  Рейтинг менеджера — среднее арифметическое последних 150 оценок, а рейтинг пункта выдачи — среднее арифметическое последних 100 оценок.  Покупатель может оценить пункт выдачи и менеджера после того, как получит заказ. Если он поставит 4 балла и меньше, его попросят указать причину низкой оценки: выбрать вариант из списка и добавить комментарий."
Работа с покупателями. Как поддерживать высокий рейтинг. Что такое рейтинг и на что он влияет. Рейтинг менеджера влияет на выплату,"Если рейтинг выше 4.96, то менеджер получит дополнительную выплату. Если ниже 4.96, часть выплаты могут удержать.  Рейтинг пункта выдачи тоже влияет на выплату, но не напрямую. Покупатели чаще выбирают пункты с высокой оценкой. Чем больше людей обслужит менеджер, тем больше будет выплата."
Работа с покупателями. Как поддерживать высокий рейтинг. Что не нравится покупателям,"Чаще всего покупатели ставят плохую оценку и понижают рейтинг, если:  - пункт выдачи закрыт в рабочее время, - в зале и в примерочных грязно, - менеджер ведёт себя грубо и некомпетентно."
"Работа с покупателями. Как поддерживать высокий рейтинг. Конфликты чаще всего возникают, если:","Конфликты и недовольство чаще всего возникают, если: - менеджер делает что-то не так, например, случайно выдаёт невозвратный товар; - покупатель невнимательно оформляет заказ, например, не замечает, что отказ от товара платный или вещь невозвратная.  Рассказываем, как вести себя в конфликтной ситуации, в инструкции Как построить конструктивный диалог с покупателем​"
Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Будьте вежливы,"Больше всего негативных отзывов о пунктах выдачи оставляют из-за невежливого или даже грубого отношения со стороны менеджера.  Соблюдайте эти рекомендации, чтобы не получить плохую оценку:  - здоровайтесь с посетителями первыми, чётко и внятно; - обращайтесь на «вы» и придерживайтесь нейтрального делового тона; - не игнорируйте вопросы покупателей; - не комментируйте выбор, поведение и внешний вид покупателя или других посетителей пункта выдачи; - сохраняйте спокойствие, даже если вас провоцируют на конфликт; - не забывайте прощаться и желать хорошего дня или вечера."
Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Предупреждайте о перерывах,"Предупреждайте о перерывах. Не отлучайтесь в пиковые часы, чтобы перед дверью не собиралась очередь. Если закрываете пункт, не забудьте повесить табличку с номером и временем перерыва.  В течение дня можно делать не больше 4 технических перерывов по 15 минут."
Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Правильно расставляйте приоритеты,"На первом месте для менеджера — обслужить покупателя. Если кто-то придёт за заказом, пока вы принимаете дневную доставку, коробки лучше отложить."
"Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Правильно расставляйте приоритеты. Почему выдать заказ важнее, чем принять поставку:","Почему выдать заказ важнее, чем принять поставку: - чтобы не упал рейтинг по критерию «Скорость обслуживания», - чтобы клиенты не злились из-за ожидания и не ставили плохие оценки, - чтобы освободить ячейки для новых товаров, если склад заполнен."
"Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Правильно расставляйте приоритеты. Что делать, если в пункт пришли сразу несколько покупателей:","Если в пункт пришли сразу несколько покупателей: - обслуживайте клиентов по очереди, - пока один человек проверяет или примеряет товар, переходите к другому, - когда примерочные заняты, вежливо попросите покупателя подождать, - предложите настольное зеркало, если нужно примерить небольшие аксессуары."
"Работа с покупателями. Как поддерживать высокий рейтинг. Как получить хорошую оценку. Напоминайте, что нужно проверять товары перед примеркой","Мы работаем над тем, чтобы подмен и проблемных товаров стало меньше. Вежливо просите каждого покупателя проверять вещи под камерами в зоне выдачи: «Пожалуйста, перед примеркой осмотрите вещь. Это нужно сделать на столе, под камерой, чтобы товар было проще вернуть, если с ним что-то не так».  Не забывайте ставить отметку «Брак» в программе, если нашли дефект. Так с покупателя не спишут деньги за то, чтобы доставить вещь обратно на склад."
