Question,Chunk,Hard negative
"Где взять новый тейбл-тент, если старый вышел из строя?","Если сломалась или повредилась мебель, зеркало или коврик, сообщите руководителю, что нужен ремонт. - Если сломался светильник или перегорела лампочка, замените на такие же самостоятельно или сообщите руководителю о проблеме. - Если сломался тейбл-тент — подставка для объявлений — закажите новый на WB или попросите руководителя. Артикулы: 20868971 или 97295309  Нельзя использовать картон вместо тейбл-тентов и писать объявления от руки","На хозяйственные нужды выделяют 0.025% от выручки ПВЗ  Пример: За день пункт выдачи заработал 200 000 ₽. На хозяйственные нужды менеджеру начислят 0,025% от этой суммы — 50 ₽"
Как сохранить нужный фрагмент записи с камер?,Как смотреть и сохранять записи на компьютере: Подключите USB-флешку или внешний жёсткий диск к регистратору. Затем в разделе архива выберите нужный отрезок видео с помощью инструмента «Ножницы» и сохраните его,"Проверьте коробки. На каждой коробке есть транспортировочная наклейка. Прежде чем принять коробку на баланс, сверьте адрес на наклейке с фактическим адресом вашего пункта выдачи. Если адрес совпал, переходите к следующему шагу."
"Что случится, если я отправлю заявку на рассмотрение с ошибкой?","Оспаривание в программе NPOS / OFFLINE: -1. Перейдите в раздел «Баланс» из меню слева. 2. Откройте вкладку «Недостачи» — тут можно посмотреть все удержания. В колонке «№» указан номер удержания, в «Дате создания» — день, когда его выставили, в «Комментарии» — пояснение от склада, а в «Сумме» — общая стоимость товаров. 3. Нажмите на кнопку «Детали», если хотите посмотреть информацию о товарах. 4. Чтобы оспорить удержание, нажмите на кнопку «Оспорить». Откроется окно «Заявка на оспаривание», где нужно описать ситуацию и добавить ссылку на Яндекс Диск с доказательствами. 5. Укажите склад или сортировочный центр, куда нужно направить заявку. Читайте, как это сделать, в инструкции Куда отправлять заявку, когда оспариваете недостачу​ 6. Отслеживайте статус заявки в колонке «История спора». Советуем заходить туда почаще — у вас могут запросить дополнительные видео или фотографии.  Будьте внимательны, когда заполняете форму: Заявку не получится отредактировать после того, как отправите её на рассмотрение","Когда убедитесь, что все коробки доставили, примите их на баланс офиса в рабочей программе NPOS.Принимайте коробки только под камерами видеонаблюдения  1. Из меню слева перейдите в раздел «Приёмка» → Приём коробок 2. Смените раскладку клавиатуры на английский язык. Если этого не сделать, система покажет ошибку «Невалидный ШК» 3. Нажмите на пустую строку и отсканируйте QR-код на приходной коробке. Если всё в порядке, она отобразится ниже с фиолетовой галочкой 4. Если QR-код не читается, введите номер коробки вручную в формате TRBX0000000 — вместо нулей укажите номер коробки"
Как найти информацию о перемещении товара по штрихкоду?,"В разделе «Движение вещей» можно посмотреть движение всех товаров за день в ПВЗ. Введите ШК товара в строку поиска, чтобы проверить:  - когда и во сколько приняли товар; - в какой коробке товар поступил в ПВЗ; - выкупили товар или отказались от него; - в какую коробку с возвратом добавили товар; - перемещали ли товар с ячейки на ячейку или полку.","Одновременно можно принимать до 10 коробок. Вы также можете разбирать коробки по одной: просканировать первую, разложить вещи по ячейкам, а затем просканировать коробку, чтобы завершить приёмку, и только после этого переходить к следующей коробке"
Как я могу отправить бракованный товар в брак?,"Если в пункт выдачи приехал бракованный товар: -1. Перейдите в раздел «Дефекты» и отсканируйте товар, а затем нажмите на кнопку «Отправить в брак». Так вы исключите себя из коллективной ответственности. 2. Сохраните скриншот с отметкой о браке в программе. Он пригодится, если нужно будет оспорить удержание. ","Если товар крупногабаритный (КГТ), не помещается в ячейку, можно создать для него виртуальную полку с номером в программе:  1. Откройте раздел «Вещи в офисе» → Места хранения → Печать ШК полок 2. Распечатайте ШК, если есть принтер, или сохраните штрихкод на планшете 3. Найдите подходящее место на складе и поставьте там упаковку с КГТ"
"Где можно посмотреть, сколько я уже заработал?","Во вкладке «Заработок» вы можете следить за состоянием личного счёта: посмотреть общую сумму заработка, узнать, за какие операции начисляли вознаграждение, и проверить недостачи.  Рядом с общей суммой на вкладке «Заработок» есть кнопка «Посмотреть по дням» — нажмите на неё, чтобы узнать более подробную информацию о начислениях и продуктивности за интересующую дату.","Если на приемку пришел бракованный товар: 1. Зайдите во вкладку «Дефекты» 2. Отсканируйте товар — после этого в программе появится отметка о браке 3. Примите товар, как обычно, и положите вещь в ячейку 4. Когда будете выдавать товар, скажите покупателю о браке: он сам решит, будет ли принимать такой заказ"
Есть ли инструкции по настройке для других брендов роутеров?,Настройка роутера TP-Link  https://docs.google.com/document/d/1MZ1--LGUhcu6CwGtiS9j2XD9_n88luvXTLgGW2EFaqg/edit,"Если уже приняли коробку, в которой был товар с двумя ШК: 1. Перейдите в раздел «Вещи в офисе». Неизвестный товар и его штрихкод отобразятся во вкладке «Возврат на склад» 2. Откройте вкладку «Поиск вещей» и нажмите на пустую строку 3. Пикните второй штрихкод. Если это нужный код, товар с названием, номером ячейки и именем клиента отобразится во вкладке «Вещи в офисе» 4. Если товар по-прежнему отмечен как неизвестный, значит, его доставили в ваш пункт выдачи по ошибке. Добавьте товар в возвратную коробку и отправьте на склад"
"Куда обращаться, если не могу подключиться к Wi-Fi?","Обратитесь к своему руководителю, если возникли проблемы или нестандартные ситуации, такие как:— закончились фирменные пакеты  — вы не знаете пароль от компьютера, не можете подключиться к WiFi  — вы не знаете ШК офиса  — отвязался сканер, возникли сложности с видеонаблюдением или другой техникой  — вы хотите, чтобы вас кто-то подменил на время  — возникли проблемы с ботом-помощником","Чтобы выдать заказ покупателю, найдите покупателя и проверьте статус заказа. 1. Откройте вкладку «Поиск клиентов» в программе NPOS, отсканируйте QR-код или введите номер вручную 2. Проверьте, готов ли товар к выдаче. Если заказ ещё не приехал, попросите покупателя зайти позже, когда статус изменится на «Готов к выдаче»  Если система выдаёт ошибку «Невозможно открыть страницу с информацией о клиенте», закройте вкладку поиска и повторите всё заново. Далее вынесите товары со склада. 3 Сообщите покупателю, сколько товаров в заказе 4. Посмотрите номер ячейки, найдите товары на складе и вынесите их покупателю 5. Пересчитайте товары перед покупателем 6. Если в заказе есть невозвратные или неотказные товары, обязательно предупредите покупателя 7.Попросите покупателя осмотреть товар. 8. Обязательно напомните, что это нужно делать на столе выдачи, под камерами наблюдения.9. Передайте покупателю товары вместе с упаковкой, если он хочет примерить вещи 10. Напомните, что каждую вещь нужно вернуть в своей упаковке, чтобы не перепутать штрихкоды 11. Проверьте состояние вещей после того, как их вернут с примерки.12. Когда покупатель будет готов забрать заказ, предложите пакет. Фирменные пакеты бесплатные, а пакет-майка стоит 5 рублей 13. Отсканируйте штрихкод пакета, даже если он бесплатный. Это нужно для отчётности.14. Проверьте статус оплаты. Будьте особенно внимательны с заказами, где есть товары с пломбами и ювелирные изделия 15. Если предоплаты нет, узнайте, каким способом покупатель будет платить: картой или через WB Кошелёк 16. Нажмите кнопку «Выдать товар»"
"Как понять, какая коробка нужна для возврата?","Совет по поводу того, какие коробки использовать как возвратные. Для возврата можно использовать те же коробки, в которых заказы приезжают в пункт выдачи. Отложите часть упаковки после того, как примете товары. Если коробки не пригодятся в течение дня, их всегда можно порезать и сдать вместе с картоном. ","Если товары в разной валюте и оплата не проходит: 1. Откройте покупателя в NPOS. 2. Снимите галочку с одной из валют. Например, оставьте только рубли. 3. Проведите оплату в рублях. 4. Закройте и снова откройте покупателя в NPOS. 5. Теперь снимите галочку с другой валюты. Например, оставьте только доллары. 6. Проведите оплату в долларах.В кошельке должно быть достаточно денег. Если сумма на балансе меньше, стоимость заказа спишется с карты, которая привязана к профилю"
"Что делать, если клиент хочет пакет, а не знает, какой?","Фирменные пакеты бесплатные, а пакет-майка стоит 5 рублей.Отсканируйте штрихкод пакета, даже если он бесплатный. Это нужно для отчётности.","Если покупатель отказывается от товара, отсканируйте штрихкод, проверьте состояние вещи и проведите отказ через программу - Если покупатель обнаружил брак после того, как вы закрыли заказ, попросите оформить заявку на проверку товара в профиле - Если брак заметили до того, как заказ закрыли, проведите отказ и поставьте отметку «Брак» в карточке покупателя"
Где искать настройки звука?,"Если нужно настроить звук, который не работает, когда добавляете товары в коробку: 1. Перейти в коробку 2. Поставить галочку над «Звуковыми уведомлениями»","Какими бывают статусы заказа: -Оформлен: заказ принят в системе - Отправлен на сборку: товар проверяют и готовят к отправке - Собран: товар в наличии, заказ подтвердили и упаковали - Отсортирован: заказ готов к транспортировке - В пути на СЦ: заказ доставляют в сортировочный центр - В пути на пункт выдачи: заказ везут в пункт выдачи - Готов к выдаче: заказ можно забирать - Получен: покупатель забрал заказ - Возврат: покупатель вернул товар"
Какой браузер нужно использовать?,"Если планшет не проговаривает ячейки, проверьте настройки звука на планшете и убедитесь, что используете браузер Mozilla Firefox.","Если не спрашивать покупателя про способ оплаты, можно случайно списать деньги не с того счёта, если не уточнить, как покупатель хочет платить: картой или через WB Кошелёк."
"Что делать, если возникла непредвиденная ситуация?","Сохраняйте спокойствие в случае непредвиденной ситуации.Постарайтесь не нервничать и сконцентрироваться. Свяжитесь с руководителем. Как можно скорее сообщите о проблеме. Объясните, что случилось. Чётко и понятно передайте суть проблемы.","Чтобы исправить ошибку при сверке товара, проведите возврат, если товар можно вернуть без заявки. Если случайно выдали невозвратный или неотказной товар, следуйте инструкции из раздела Невозвратные и неотказные товары"
Можно ли проводить инвентаризацию вдвоём?,"Провести инвентаризацию — значит проверить остатки на складе и сравнить их с данными из рабочей программы. Так можно понять, какие товары и ценности пропали из ПВЗ.  Инвентаризация может занять много времени — лучше провести её после смены или вместе с коллегой.","Не забывайте убирать отметку о возврате!Из-за этого можно случайно вернуть товар, который покупатель хотел забрать."
"Что делать с вещами, которые уже нельзя продавать?","Некоторые вещи нельзя продать или вернуть на склад — только утилизировать. Рассказываем об этих товарах и о том, как правильно освобождать склад.","Приложение для команды Wildberries, WB Team, в котором вы можете:  - читать новости компании, - узнавать о корпоративных скидках, - заказывать справки и документы, - смотреть вакансии в Wildberries, - принимать участие в конкурсах с призами, - проходить опросы и делиться мнением.  -"
А что такое этот баркод на товаре?,"Команда Wildberries использует много терминов и аббревиатур. Разберём основные из них, чтобы вам было проще общаться с коллегами и покупателями:  — ТП — торговая площадка. В нашем случае — платформа (маркетплейс) Wildberries.  — ПВЗ — пункт выдачи заказов. Это место, куда покупатели приходят за посылками. Сейчас у нас больше 28 тысяч пунктов по всей России и за пределами страны.  — ШК офиса (ПВЗ) — уникальный штрихкод, который даёт доступ к рабочему интерфейсу NPOS. Его можно посмотреть на ресепшене ПВЗ или уточнить у руководителя. Формат кода: OFFC000000000.  — ID (айди) офиса (ПВЗ) — номер пункта выдачи в системе Wildberries. ID офиса можно посмотреть в левом верхнем углу рабочего интерфейса в программе NPOS. Идентификационный номер помогает быстро и точно определить местоположение ПВЗ. Не забывайте указывать ID офиса, когда будете составлять обращения.  — ID (айди) менеджера — номер вашей учетной записи в системе Wildberries. ID менеджера можно посмотреть в левом верхнем углу рабочего интерфейса, рядом с вашим именем. Не забывайте указывать ID менеджера, когда будете составлять обращения.  — ШК — штрихкод. Он есть на упаковке каждого товара и на приходных коробках. По штрихкоду можно узнать содержимое посылки, адрес отправителя и получателя.  — Стикер — так же, как и штрихкод, помогает узнать информацию о заказе, но с его помощью нельзя искать товар в рабочей системе.  — Баркод — это штрихкод производителя на бирке или упаковке товара. По баркоду можно сверять данные о товаре с информацией, указанной в программе: размер, цвет, бренд и другие характеристики.  — QR-код — это двумерный штрихкод с информацией. QR-код можно расшифровать с помощью сканера или камеры смартфона.  — Волна или волнорез — стеллаж, где хранятся товары.  — Приходная коробка — упаковка, в которой заказы приходят в пункт выдачи. На такой коробке всегда есть QR-код с номером коробки, номером пути и адресом ПВЗ. Обязательно сверяйте адрес, зашифрованный в QR-коде, с фактическим адресом пункта выдачи.  — Невостребованный товар — это товар, который покупатель по какой-то причине не забрал из ПВЗ в течение 12 дней.  — Возвратная коробка — упаковка, в которой невостребованные товары отправляют обратно на склад. Возвратные коробки могут быть разных размеров и форм — все зависит от типа и количества товара.  — Возвратная наклейка — элемент упаковки со штрихкодом и номером коробки. Эти наклейки нужны для того, чтобы возвраты не потерялись в пути.  — Сейф-пакет — специальная упаковка для ювелирных изделий и дорогих гаджетов. Сейф-пакет защищает от кражи и повреждений. На каждом изделии должна быть пломба и бирка с информацией о товаре.","Если в пункте пожар, звоните по телефонам 01, 101 или 112. - Выведите людей и покиньте помещение. - Уведомите руководителя. Сообщите, что в ПВЗ пожар."
"Что делать, если не можем купить нужные расходники?","Какие расходные материалы должны быть в пункте: - Средство для мытья пола, - Средство для мытья стёкол, - Скотч, - Канцелярские ножи и сменные лезвия, - Тряпки для уборки, - Ластики, ручки, фломастеры и маркеры, - Возвратные наклейки, - Влажные салфетки, - Бумага А4, - Картриджи для принтера, - Рожки для обуви, - Крючки для примерочных, - Ароматические диффузоры.  Пополняйте запасы расходников на деньги, которые выделяют на хозяйственные нужды. Если возникнут проблемы, сообщите руководителю","Если помещение затопило, сообщите об этом руководителю. Найдите вентиль, который перекрывает воду. Если его нет, свяжитесь с управляющей компанией."
Как сканировать товар с QR-кодом?,"Если на товаре при приемке вместо ШК стикер с QR-кодом, сканируйте его так же, как и обычный штрихкод.","Если пропала прямая трансляция, проблемы с камерами, напишите об этом в техническую поддержку. Отправьте письмо с темой «Видеонаблюдение» на адрес helpdesk.wb.pvz@yandex.ru. В обращении укажите:  - ваши данные (ФИО, ID менеджера, ID ПВЗ); - адрес ПВЗ; - марку роутера и оборудования для видеонаблюдения; - контакты для связи в Telegram; - краткое описание проблемы."
"Куда обращаться, если нашли проданный товар на складе?","Если вы нашли на складе уже проданный товар, создайте обращение. Выберите «Связь с клиентом» → Найден проданный товар. Заполните форму и укажите ШК товара.","Если товар пропал после того, как вы приняли его в пункте выдачи, нужно поставить отметку в колонке «Потерял» слева.  "
"Что делать, если клиент хочет вернуть товар без бирки?","Если при возврате на товаре нет навесной бирки, примите возврат по стандартной процедуре. В этом случае создавать заявку на брак не нужно.","После оплаты система попросит вас оценить покупателя: можно поставить от 1 до 5 «звёзд». Если оценка меньше 5, нужно указать причину. Покупатель не увидит вашу оценку — эта информация отобразится только во внутренних системах Wildberries.  "
"Как быть, если клиент не может оформить заявку на возврат?","Изучите приложение Wildberries для покупателей. Так вы сможете ответить на самые популярные вопросы: где посмотреть QR-код, как проверить статус заказа или как оформить заявку на возврат через профиль.",При возврате деньги вернутся покупателю на счет в течение 14 рабочих дней — точные сроки зависят от банка.  
Что можно увидеть в разделе про примерку?,"В разделе «Клиенты на примерке» можно посмотреть покупателей, которые примеряют товары в пункте.",Во вкладке "Дефекты" можно просканировать бракованный товар.
Что важнее: принять посылку или помочь клиенту?,"На первом месте для менеджера — обслужить покупателя. Если кто-то придёт за заказом, пока вы принимаете дневную доставку, коробки лучше отложить.","Если в заказе несколько позиций, вернуть на полку можно только все товары вместе — разделять заказ нельзя. Чтобы отложить заказ, нажмите кнопку «Снять с примерки» в правом нижнем углу и следуйте инструкциям, а затем верните товары на прежнее место. Важно напомнить покупателю, что срок хранения — 12 календарных дней с момента доставки в пункт"
Как связать сканер с планшетом?,Чтобы подключить сканер MINDEO через Bluetooth на планшете: 1. Отсканируйте штрихкод на картинке https://disk.yandex.ru/d/oZa8HAIqhqfaew 2. На планшете перейдите в раздел «Настройки Bluetooth». 3. Выберите сканер в списке доступных устройств.,"Если нашли потерянный товар в течение 24 часов, снова примите его через раздел «Приёмка» в NPOS. Долг пропадёт, когда покупатель заберёт товар или когда посылка доедет до склада, если покупатель отказался от заказа."
Где должны храниться коробки с возвратами?,"Возвратная коробка всё время должна находиться в зоне видимости камер: с момента, как вы открыли коробку, и до тех пор, пока не выставите её в КЗ.","Если не нашли товар в течение 24 часов: -Примите товар вручную по штрихкоду, чтобы вернуть товар на баланс и в раздел «Вещи в офисе». После этого свяжитесь с покупателем, чтобы провести отказ. Если покупатель не придёт в пункт, деньги вернутся на его счёт только после того, как истечёт срок хранения."
Что можно делать в разделе «Приемка»?,"С помощью интерфейса в разделе ""Приемка"" вы cможете принимать товары.  Приёмка включает два этапа: - Отсканируйте транспортировочную наклейку на коробке — голосовой помощник сообщит, что коробка принята. За один раз можно принять не более 10 штук. - Обязательно сверяйте адрес на приходной коробке с фактическим адресом пункта — они должны совпадать. - Коробки и товары нужно принимать только под камерой видеонаблюдения. Так у вас будет доказательство в случае, если возникнет спорная ситуация. Например, чтобы оспорить недостачу. ","Если покупатель пытается вернуть после примерки не ту вещь, которую вы ему выдали, не оформляйте отказ. Попросите клиента выкупить вещь и оформить заявку на возврат в профиле. Вы сможете принять возврат только после того, как заявку одобрят.  Инструкция есть в разделе Как создать заявку на возврат в профиле покупателя"
"Куда обращаться, если забыл пароль от компа?","Обратитесь к своему руководителю, если возникли проблемы или нестандартные ситуации, такие как:— закончились фирменные пакеты  — вы не знаете пароль от компьютера, не можете подключиться к WiFi  — вы не знаете ШК офиса  — отвязался сканер, возникли сложности с видеонаблюдением или другой техникой  — вы хотите, чтобы вас кто-то подменил на время  — возникли проблемы с ботом-помощником","Брак - это физические или качественные повреждения. Они могут появиться ещё в процессе производства или позже, например, во время транспортировки."
Какие бывают виды товаров по возврату?,"Возвраты бывают следующих видов: - Отказ. Покупатель отказался от товара при получении в ПВЗ. - Обычный возврат. Покупатель забрал заказ, но передумал и принёс вещь в пункт. - Возврат по браку. Покупатель оформил заявку на проверку товара, а потом принёс вещь в пункт. - Невостребованный товар. Клиент не забрал заказ в течение 12 дней. - Излишек или пересорт. Товар случайно доставили не в тот пункт выдачи.","Если в пункт выдачи приехал бракованный товар: -1. Перейдите в раздел «Дефекты» и отсканируйте товар, а затем нажмите на кнопку «Отправить в брак». Так вы исключите себя из коллективной ответственности. 2. Сохраните скриншот с отметкой о браке в программе. Он пригодится, если нужно будет оспорить удержание. "
Как часто нужно делать генеральную уборку?,"Как часто проводить генеральную уборку, решает руководитель пункта. Обычно — от 1 раза в неделю до 1 раза в 1-2 месяца.  Что сделать:  - Выполнить все пункты из чек-листа «Ежедневная уборка» - Убрать паутину из углов - Отмыть ножи и ножницы от скотча, заменить лезвия - Протереть технику, антивандальный ящик - Протереть мебель - Протереть огнетушители и подставки под них - Постирать шторы из примерочных - Помыть коврики - Заказать расходники, если что-то закончилось",Если покупатель хочет вернуть бракованный товар без одобренной заявки: -Вежливо попросите покупателя создать заявку на брак через профиль на сайте или в приложении Wildberries. Подробную инструкцию можно найти в разделе «Как создать заявку на возврат в профиле покупателя».
"Как узнать, как покупатель планирует оплатить заказ без предоплаты?","Чтобы выдать заказ покупателю, найдите покупателя и проверьте статус заказа. 1. Откройте вкладку «Поиск клиентов» в программе NPOS, отсканируйте QR-код или введите номер вручную 2. Проверьте, готов ли товар к выдаче. Если заказ ещё не приехал, попросите покупателя зайти позже, когда статус изменится на «Готов к выдаче»  Если система выдаёт ошибку «Невозможно открыть страницу с информацией о клиенте», закройте вкладку поиска и повторите всё заново. Далее вынесите товары со склада. 3 Сообщите покупателю, сколько товаров в заказе 4. Посмотрите номер ячейки, найдите товары на складе и вынесите их покупателю 5. Пересчитайте товары перед покупателем 6. Если в заказе есть невозвратные или неотказные товары, обязательно предупредите покупателя 7.Попросите покупателя осмотреть товар. 8. Обязательно напомните, что это нужно делать на столе выдачи, под камерами наблюдения.9. Передайте покупателю товары вместе с упаковкой, если он хочет примерить вещи 10. Напомните, что каждую вещь нужно вернуть в своей упаковке, чтобы не перепутать штрихкоды 11. Проверьте состояние вещей после того, как их вернут с примерки.12. Когда покупатель будет готов забрать заказ, предложите пакет. Фирменные пакеты бесплатные, а пакет-майка стоит 5 рублей 13. Отсканируйте штрихкод пакета, даже если он бесплатный. Это нужно для отчётности.14. Проверьте статус оплаты. Будьте особенно внимательны с заказами, где есть товары с пломбами и ювелирные изделия 15. Если предоплаты нет, узнайте, каким способом покупатель будет платить: картой или через WB Кошелёк 16. Нажмите кнопку «Выдать товар»","Некоторые вещи нельзя продать или вернуть на склад — только утилизировать. Рассказываем об этих товарах и о том, как правильно освобождать склад."
В чём опасность выдачи товара без сверки?,"Если менеджер забыл сверить в программе, сколько и каких товаров выдал покупателю, спишется неправильная сумма или покупатель получит не свой заказ","Покупатели не знают, как устроены процессы в Wildberries, поэтому направляют негатив на менеджера пункта, даже если ошибка произошла не по вашей вине.  Что делать,  если возник конфликт:  - Не поддавайтесь эмоциям, если покупатель проявляет агрессию и провоцирует. - Говорите спокойно и чётко, даже когда ситуация накаляется. - Не принимайте негатив на свой счёт. Постарайтесь как можно лучше разобраться в проблеме. Покажите искренний интерес, чтобы покупатель понимал, что ему хотят помочь.  Что делать:  - Узнайте имя. Обращайтесь к покупателю только так, как он представился. Если обсуждаете проблему при покупателе с сотрудником поддержки или руководством, не используйте местоимения «он» или «она» — называйте клиента по имени. - Выслушайте. Дайте покупателю высказаться и не перебивайте — так вы сможете понять контекст и вникнуть в суть проблемы. - Задайте вопросы. Когда покупатель закончит монолог, вежливо уточните то, что не поняли: «Я правильно вас услышал…?» «Я правильно понимаю, что…?» - Проявите эмпатию. Посочувствуйте, если покупатель расстроен: «Мне очень жаль, что вы получили вещь с дефектом». «Понимаю, как это неприятно». «Понимаю ваше негодование». - Извинитесь, если действительно допустили ошибку: «Извините, что списал деньги не за тот товар». «Простите за неудобства». «Извините, что вам приходится разбираться с этим». «Это моя ошибка, простите». Когда дали покупателю высказаться и разобрались в ситуации, предложите решение.  Что делать:  - Решите проблему. Проговорите все шаги для покупателя: «Сейчас мы вместе посмотрим товар под камерами и всё проверим. Если с вещью снова будут проблемы, сразу оформим возврат». - Предложите альтернативу. Если не можете решить проблему здесь и сейчас, помогите создать заявку на проверку товара или связаться со службой поддержки. - Не стесняйтесь обратиться за советом. Если не знаете, как поступить, попросите помочь более опытного коллегу или руководство."
